"","simCount","timestamp","model_type","vod_type","GOF_per_vod_type","RMSE_per_vod_type","NRMSE_per_vod_type","RSQ_per_vod_type","GOF_combined","RMSE_combined","NRMSE_combined","RSQ_combined","vod_params","vod_count","rounds_per_vod","players_count","util_max","util_none","p1_coop_cost","p2_coop_cost","p3_coop_cost","p1_params","p1_coop_ratio","p2_params","p2_coop_ratio","p3_params","p3_coop_ratio"
"1",1,"2017-06-09 12:32:40","Random","sym","###",34.0713385576662,149.3,0.182038841130453,"#",35.9450352003661,174.3,0.120246105555751,"###",10,150,3,80,0,50,50,50,"#####",0.25,"#####",0.25,"#####",0.25
"2",1,"2017-06-09 12:32:40","Random","asym1","###",29.3797643890409,173.8,0.48746401002908,"#",35.9450352003661,174.3,0.120246105555751,"###",10,150,3,80,0,30,50,50,"#####",0.25,"#####",0.25,"#####",0.25
"3",1,"2017-06-09 12:32:40","Random","asym2","###",43.0361475971073,156.8,0.00657391434226492,"#",35.9450352003661,174.3,0.120246105555751,"###",10,150,3,80,0,10,50,50,"#####",0.25,"#####",0.25,"#####",0.25
"1",2,"2017-06-09 12:32:50","Random","sym","###",32.2968952756212,141.6,0.173408673125616,"#",34.2049000171786,165.8,0.119214638657101,"###",10,150,3,80,0,50,50,50,"#####",0.333333333333333,"#####",0.333333333333333,"#####",0.333333333333333
"2",2,"2017-06-09 12:32:50","Random","asym1","###",27.9637364376715,165.4,0.498099249192855,"#",34.2049000171786,165.8,0.119214638657101,"###",10,150,3,80,0,30,50,50,"#####",0.333333333333333,"#####",0.333333333333333,"#####",0.333333333333333
"3",2,"2017-06-09 12:32:50","Random","asym2","###",41.0471138517138,149.5,0.00580549550726125,"#",34.2049000171786,165.8,0.119214638657101,"###",10,150,3,80,0,10,50,50,"#####",0.333333333333333,"#####",0.333333333333333,"#####",0.333333333333333
"1",3,"2017-06-09 12:33:02","Random","sym","###",37.0527476863877,162.4,0.180905293693043,"#",37.1588332552152,180.2,0.133055728593452,"###",10,150,3,80,0,50,50,50,"#####",0.5,"#####",0.5,"#####",0.5
"2",3,"2017-06-09 12:33:02","Random","asym1","###",30.7606982293243,182,0.510792406999648,"#",37.1588332552152,180.2,0.133055728593452,"###",10,150,3,80,0,30,50,50,"#####",0.5,"#####",0.5,"#####",0.5
"3",3,"2017-06-09 12:33:02","Random","asym2","###",42.6990632215743,155.6,0.0115004102862512,"#",37.1588332552152,180.2,0.133055728593452,"###",10,150,3,80,0,10,50,50,"#####",0.5,"#####",0.5,"#####",0.5
"1",4,"2017-06-09 12:33:16","Random","sym","###",38.355508079023,168.1,0.179462422256432,"#",40.084993035632,194.4,0.137554545450983,"###",10,150,3,80,0,50,50,50,"#####",0.666666666666667,"#####",0.666666666666667,"#####",0.666666666666667
"2",4,"2017-06-09 12:33:16","Random","asym1","###",34.1213276412276,201.9,0.532440358123508,"#",40.084993035632,194.4,0.137554545450983,"###",10,150,3,80,0,30,50,50,"#####",0.666666666666667,"#####",0.666666666666667,"#####",0.666666666666667
"3",4,"2017-06-09 12:33:16","Random","asym2","###",46.7440905355961,170.3,0.0153448611529,"#",40.084993035632,194.4,0.137554545450983,"###",10,150,3,80,0,10,50,50,"#####",0.666666666666667,"#####",0.666666666666667,"#####",0.666666666666667
"1",5,"2017-06-09 12:33:32","Random","sym","###",39.439130314955,172.9,0.172145457960361,"#",40.4339791099845,196.1,0.135724788838354,"###",10,150,3,80,0,50,50,50,"#####",0.75,"#####",0.75,"#####",0.75
"2",5,"2017-06-09 12:33:32","Random","asym1","###",34.1213276412276,201.9,0.532440358123508,"#",40.4339791099845,196.1,0.135724788838354,"###",10,150,3,80,0,30,50,50,"#####",0.75,"#####",0.75,"#####",0.75
"3",5,"2017-06-09 12:33:32","Random","asym2","###",46.7440905355961,170.3,0.0153448611529,"#",40.4339791099845,196.1,0.135724788838354,"###",10,150,3,80,0,10,50,50,"#####",0.75,"#####",0.75,"#####",0.75
